#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
BK|TOLH|36.94966|-119.44162|383.3|Petersen Ranch, Tollhouse, CA|2020-10-01T00:00:00|3000-01-01T00:00:00
BK|TRAM|35.67691|-120.270927|642.0|Rambo Property, Shandon, CA, USA|2012-12-13T00:46:00|3000-01-01T00:00:00
BK|TRAY|35.551682|-120.125832|690.0|Twisselman Ranch, Shandon, CA, USA|2016-08-18T23:54:00|3000-01-01T00:00:00
BK|TSCN|35.54398|-120.348061|476.5|Shell Creek North, Shandon, CA, USA|2012-03-09T00:00:00|3000-01-01T00:00:00
BK|TSCS|35.440701|-120.353699|467.0|Shell Creek South, Shandon, CA, USA|2016-05-05T20:39:00|3000-01-01T00:00:00
BK|WINE|36.670213|-119.907716|73.5|Golden State Vintners, Fresno, CA USA|2019-01-29T00:00:00|3000-01-01T00:00:00
BK|WROK|35.4453|-120.88023|177.0|Whale Rock Reservoir|2021-05-21T00:00:00|3000-01-01T00:00:00
BK|WSRE|36.33543|-120.11723|88.1|West Side REC, Calflax, CA USA|2018-11-15T00:00:00|3000-01-01T00:00:00
CE|35078|35.3664|-119.9239|747.0|California Valley - King Ranch|2006-11-30T00:00:00|3000-01-01T00:00:00
CE|35110|35.263|-119.8156|695.0|California Valley - Painted Rock|2007-07-24T00:00:00|3000-01-01T00:00:00
CE|35342|35.2607|-119.8202|669.0|California Valley - Elkhorn Rd|2007-08-28T00:00:00|3000-01-01T00:00:00
CE|36014|35.3039|-120.0222|640.0|California Valley|2006-11-29T00:00:00|3000-01-01T00:00:00
CI|ABL|34.84843|-119.224965|1975.0|Mount Abel|2021-10-20T12:00:00|3000-01-01T00:00:00
CI|ACP|32.9546|-116.30338|392.2|Agua Caliente County Park|2014-12-31T00:00:00|3000-01-01T00:00:00
CI|ADO|34.55046|-117.43391|908.0|Adelanto Receiving|2000-08-09T00:00:00|3000-01-01T00:00:00
CI|AGM|32.84474|-114.78425|324.0|American Girl Mine|2017-06-05T00:00:00|3000-01-01T00:00:00
