time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2022-06-08T14:41:32.920Z, 33.28300, -116.11450,   2.76, KILOMETER,  3.05, Ml
2022-06-08T10:15:43.420Z, 35.92150, -117.70950,   3.85, KILOMETER,  2.24, Ml
2022-06-07T04:12:07.880Z, 34.84883, -116.36000,   6.78, KILOMETER,  2.35, Ml
2022-06-07T00:32:50.230Z, 32.49350, -116.30500,  16.07, KILOMETER,  2.51, Ml
2022-06-05T04:14:15.920Z, 34.80083, -116.28683,   5.48, KILOMETER,  2.38, Ml
2022-06-03T16:15:37.020Z, 34.40550, -120.16683,   5.58, KILOMETER,  2.15, Ml
2022-06-03T12:05:21.050Z, 33.90050, -118.41367,  11.27, KILOMETER,  2.51, Ml
2022-06-03T10:40:29.910Z, 33.23383, -116.66417,  10.94, KILOMETER,  3.68, Ml
2022-06-02T10:01:04.600Z, 33.08067, -115.59933,  10.69, KILOMETER,   2.0, Ml
2022-06-01T14:09:07.340Z, 33.34067, -116.21850,  10.81, KILOMETER,  2.06, Ml
2022-06-01T12:58:22.190Z, 34.01050, -116.44583,   7.28, KILOMETER,  2.51, Ml
2022-06-01T05:59:09.740Z, 33.50000, -118.33267,   2.78, KILOMETER,  2.07, Ml
2022-05-31T23:53:29.030Z, 35.79450, -117.62533,   5.92, KILOMETER,  3.08, Ml
2022-05-31T09:02:55.860Z, 35.88900, -117.68783,   6.08, KILOMETER,  2.82, Ml
2022-05-31T05:54:36.730Z, 32.37000, -115.24267,  13.96, KILOMETER,  2.48, Ml
2022-05-31T05:46:45.400Z, 34.17683, -117.51833,   2.93, KILOMETER,  2.05, Ml
2022-05-31T05:24:03.630Z, 32.39400, -115.24767,   6.94, KILOMETER,  2.76, Ml
2022-05-30T06:42:25.370Z, 32.60000, -115.52867,   3.79, KILOMETER,  2.09, Ml
2022-05-30T06:36:20.820Z, 35.66300, -117.46833,   9.04, KILOMETER,  2.29, Ml
2022-05-29T21:30:47.090Z, 32.36250, -115.22583,  11.55, KILOMETER,  2.16, Ml
2022-05-29T05:48:23.730Z, 33.68167, -116.81033,  14.90, KILOMETER,  2.22, Ml
2022-05-28T20:25:21.130Z, 32.59283, -115.52950,   2.24, KILOMETER,  2.63, Ml
2022-05-28T19:37:22.270Z, 35.60283, -117.40633,   5.45, KILOMETER,  2.02, Ml
2022-05-28T10:25:49.350Z, 33.63400, -118.00833,  16.14, KILOMETER,   2.4, Ml
2022-05-28T07:09:12.750Z, 33.30100, -116.88150,  13.59, KILOMETER,  2.31, Ml
2022-05-27T08:21:57.250Z, 35.01633, -116.89533,   2.83, KILOMETER,  2.02, Ml
2022-05-27T00:56:30.190Z, 32.97533, -115.54850,  10.10, KILOMETER,  2.24, Ml
2022-05-26T17:01:17.290Z, 33.65883, -116.93167,  15.77, KILOMETER,  2.29, Ml
2022-05-26T09:23:32.530Z, 35.60267, -117.40600,   4.79, KILOMETER,  4.28, Mw
2022-05-26T05:23:47.630Z, 33.47767, -116.44700,  12.63, KILOMETER,  2.03, Ml
2022-05-25T17:29:55.340Z, 34.37400, -118.72200,  12.52, KILOMETER,  2.57, Ml
2022-05-25T09:04:15.550Z, 34.78367, -118.94767,  11.53, KILOMETER,  2.14, Ml
2022-05-25T07:58:20.420Z, 32.60117, -115.52983,   4.84, KILOMETER,  2.02, Ml
2022-05-25T06:56:01.140Z, 32.59250, -115.52550,   6.47, KILOMETER,  2.34, Ml
2022-05-25T04:05:46.050Z, 34.44900, -117.94683,  10.02, KILOMETER,  2.21, Ml
2022-05-24T10:07:57.210Z, 33.48000, -116.44100,   8.61, KILOMETER,  2.36, Ml
2022-05-23T10:32:50.250Z, 34.41017, -119.41133,  13.25, KILOMETER,   2.7, Ml
2022-05-22T21:31:25.220Z, 34.27383, -117.01617,   5.18, KILOMETER,  2.25, Ml
2022-05-22T08:26:23.880Z, 34.92233, -119.01717,  12.78, KILOMETER,  2.63, Ml
2022-05-22T01:29:00.130Z, 32.79100, -118.29267,   5.90, KILOMETER,  2.15, Ml
2022-05-21T16:16:44.750Z, 33.40017, -116.36467,  10.03, KILOMETER,  2.16, Ml
2022-05-20T18:10:50.730Z, 35.39400, -117.71883,   8.96, KILOMETER,  2.49, Ml
2022-05-20T11:53:55.270Z, 33.23183, -116.27733,  10.62, KILOMETER,  2.53, Ml
2022-05-20T00:24:43.720Z, 36.45550, -117.95433,   9.49, KILOMETER,  2.02, Ml
2022-05-19T12:52:00.230Z, 33.50183, -116.50400,  13.99, KILOMETER,   2.7, Ml
2022-05-19T05:33:59.940Z, 32.53583, -119.84933,   7.40, KILOMETER,  3.29, Ml
2022-05-19T01:18:41.930Z, 33.86350, -116.19533,   9.13, KILOMETER,  2.02, Ml
2022-05-18T15:47:52.730Z, 36.46083, -116.94950,   8.16, KILOMETER,  2.62, Ml
2022-05-17T06:47:28.530Z, 34.13267, -117.06200,   8.17, KILOMETER,  2.46, Ml
2022-05-17T04:15:14.090Z, 33.03117, -118.04500,  13.47, KILOMETER,  2.28, Ml
2022-05-17T01:21:22.980Z, 33.65617, -118.00100,  15.02, KILOMETER,  2.11, Ml
2022-05-16T15:36:38.810Z, 35.64333, -118.32000,   7.56, KILOMETER,  2.66, Ml
2022-05-16T10:31:07.280Z, 36.00183, -117.92733,   1.82, KILOMETER,  2.01, Ml
2022-05-16T06:36:52.230Z, 34.00683, -116.44550,   7.38, KILOMETER,  2.84, Ml
2022-05-16T06:16:50.290Z, 34.00783, -116.44483,   8.25, KILOMETER,  3.76, Mw
2022-05-15T14:46:45.220Z, 33.32533, -116.16617,  10.34, KILOMETER,  2.11, Ml
2022-05-14T21:28:14.790Z, 34.91233, -119.35300,   5.83, KILOMETER,  3.26, Ml
2022-05-14T00:11:11.010Z, 35.64317, -118.32233,   8.23, KILOMETER,  2.31, Ml
2022-05-13T19:45:18.040Z, 35.69567, -117.60933,   7.96, KILOMETER,  3.16, Ml
2022-05-13T16:28:42.500Z, 35.69483, -117.60817,   8.48, KILOMETER,  2.78, Ml
2022-05-13T13:32:36.610Z, 33.34200, -116.85750,   7.37, KILOMETER,  3.48, Mw
2022-05-13T05:11:38.470Z, 36.22317, -117.88250,   5.52, KILOMETER,  2.73, Ml
2022-05-11T22:26:02.830Z, 33.19400, -115.61033,   2.18, KILOMETER,  2.28, Ml
2022-05-11T17:19:42.950Z, 33.13000, -115.86833,   7.60, KILOMETER,  2.28, Ml
2022-05-11T14:36:32.960Z, 34.37683, -118.62883,  11.35, KILOMETER,  2.28, Ml
2022-05-11T07:25:19.250Z, 33.47983, -116.48550,  14.33, KILOMETER,  2.57, Ml
2022-05-10T08:01:52.130Z, 35.52350, -117.38733,   8.80, KILOMETER,  2.96, Ml
2022-05-10T06:53:51.020Z, 35.52517, -117.38967,   9.05, KILOMETER,  3.53, Ml
2022-05-10T03:44:33.390Z, 34.50550, -117.80667,   7.89, KILOMETER,  2.43, Ml
2022-05-09T23:21:37.400Z, 36.91800, -118.00767,   1.49, KILOMETER,  3.15, Ml
2022-05-09T21:38:24.160Z, 33.04250, -116.35400,  11.99, KILOMETER,  2.57, Ml
2022-05-09T21:35:33.550Z, 33.03917, -116.35383,  11.34, KILOMETER,  3.54, Ml
2022-05-08T16:06:20.460Z, 33.76717, -116.03050,   2.22, KILOMETER,  2.03, Ml
2022-05-08T15:52:46.010Z, 35.75083, -117.57383,   7.42, KILOMETER,  2.36, Ml
2022-05-08T15:38:43.400Z, 35.68000, -117.47367,   6.73, KILOMETER,  2.57, Ml
2022-05-07T12:16:22.990Z, 35.52833, -118.51150,   1.91, KILOMETER,   2.7, Ml
2022-05-07T01:26:06.640Z, 33.27333, -116.78600,  12.03, KILOMETER,  2.35, Ml
2022-05-06T19:24:47.770Z, 33.98350, -116.66200,  16.28, KILOMETER,  2.63, Ml
2022-05-06T14:20:14.140Z, 34.20917, -120.03650,   5.61, KILOMETER,  2.43, Ml
2022-05-06T11:20:01.720Z, 33.58117, -116.81200,   8.58, KILOMETER,  2.06, Ml
2022-05-05T19:51:12.050Z, 32.03083, -116.19517,  11.24, KILOMETER,  2.11, Ml
2022-05-05T06:01:03.340Z, 35.36717, -120.18067,   7.55, KILOMETER,  2.84, Ml
2022-05-04T05:38:26.230Z, 34.94267, -116.70717,   2.23, KILOMETER,  2.21, Ml
2022-05-03T14:30:55.100Z, 34.01850, -117.19800,  15.49, KILOMETER,  2.57, Ml
2022-05-02T21:56:48.810Z, 36.13200, -118.06583,   2.48, KILOMETER,  3.45, Ml
2022-05-02T14:59:36.460Z, 33.59150, -118.23283,   0.05, KILOMETER,  2.28, Ml
2022-05-02T09:53:50.070Z, 36.20017, -118.19100,   3.54, KILOMETER,  2.07, Ml
2022-05-02T09:16:05.190Z, 36.19767, -118.18917,   2.75, KILOMETER,  2.89, Ml
